"","N.patches","out1","outk","diff","out.pred.1","out.pred.k","max.inf.1","max.inf.k"
"71",70,29.947148892087,29.9404465647836,0.000223855288492294,29.7787297207569,29.7747338121743,9052.18312018172,9049.06427591434
"72",71,29.947148892087,29.9409975075182,0.000205450221462151,29.7787297207569,29.7747330073881,9052.18312018172,9049.09588652615
"73",72,29.947148892087,29.941401345294,0.000191959846057045,29.7787297207569,29.7747322249614,9052.18312018172,9049.05088107559
"74",73,29.947148892087,29.9407134755335,0.000214938650632953,29.7787297207569,29.7747314639749,9052.18312018172,9049.01079953272
"75",74,29.947148892087,29.9408283046458,0.000211102624710249,29.7787297207569,29.7747307235594,9052.18312018172,9048.96881708102
"76",75,29.947148892087,29.9401202442916,0.00023475683257016,29.7787297207569,29.7747300028919,9052.18312018172,9048.93077260635
"77",76,29.947148892087,29.9397293932679,0.000247814491627384,29.7787297207569,29.7747293011927,9052.18312018172,9048.89376668306
"78",77,29.947148892087,29.9390625764948,0.000270092477729617,29.7787297207569,29.7747286177226,9052.18312018172,9048.94121749557
"79",78,29.947148892087,29.938412330089,0.000291817812569394,29.7787297207569,29.7747279517804,9052.18312018172,9048.91964769655
"80",79,29.947148892087,29.9381315669101,0.00030119866220428,29.7787297207569,29.7747273027005,9052.18312018172,9048.95641361692
"81",80,29.947148892087,29.9378917129937,0.000309212792335453,29.7787297207569,29.7747266698502,9052.18312018172,9049.00043263215
"82",81,29.947148892087,29.938044426247,0.000304110238810995,29.7787297207569,29.7747260526286,9052.18312018172,9048.96115243878
"83",82,29.947148892087,29.9375198119714,0.00032163920645412,29.7787297207569,29.7747254504635,9052.18312018172,9048.92614385579
"84",83,29.947148892087,29.9372286480964,0.000331368147236228,29.7787297207569,29.7747248628109,9052.18312018172,9048.96958701449
"85",84,29.947148892087,29.9368606867887,0.000343663465783224,29.7787297207569,29.7747242891522,9052.18312018172,9048.93379415847
"86",85,29.947148892087,29.9355553580555,0.000387283078357372,29.7787297207569,29.7747237289935,9052.18312018172,9048.90357680842
"87",86,29.947148892087,29.9356053021031,0.000385614049469066,29.7787297207569,29.7747231818639,9052.18312018172,9048.93234280151
"88",87,29.947148892087,29.9360623410001,0.000370340994102482,29.7787297207569,29.7747226473138,9052.18312018172,9048.89666967507
"89",88,29.947148892087,29.9368029841721,0.00034559160910957,29.7787297207569,29.7747221249145,9052.18312018172,9048.93305491151
"90",89,29.947148892087,29.9365915553731,0.000352656604019649,29.7787297207569,29.7747216142563,9052.18312018172,9048.90075594023
"91",90,29.947148892087,29.9361576261735,0.00036715686931942,29.7787297207569,29.7747211149478,9052.18312018172,9048.8695952749
"92",91,29.947148892087,29.9360209069692,0.000371725592801457,29.7787297207569,29.7747206266147,9052.18312018172,9048.83769059363
"93",92,29.947148892087,29.9356211523208,0.000385084368468426,29.7787297207569,29.7747201488991,9052.18312018172,9048.80962865732
"94",93,29.947148892087,29.9348413932374,0.000411142945032923,29.7787297207569,29.7747196814584,9052.18312018172,9048.78169892405
"95",94,29.947148892087,29.9347112726553,0.000415491544861728,29.7787297207569,29.7747192239647,9052.18312018172,9048.82127217177
"96",95,29.947148892087,29.934109893314,0.000435589994804858,29.7787297207569,29.7747187761039,9052.18312018172,9048.86180314833
"97",96,29.947148892087,29.9337683645935,0.000447004444294423,29.7787297207569,29.7747183375748,9052.18312018172,9048.83419640962
"98",97,29.947148892087,29.9348549227795,0.000410690793027643,29.7787297207569,29.7747179080887,9052.18312018172,9048.86709419202
"99",98,29.947148892087,29.9349552298978,0.000407338581117487,29.7787297207569,29.774717487369,9052.18312018172,9048.83844572722
"100",99,29.947148892087,29.9345687915897,0.000420253272557872,29.7787297207569,29.7747170751497,9052.18312018172,9048.87559919622
"101",100,29.947148892087,29.9346531393652,0.000417434358219869,29.7787297207569,29.774716671176,9052.18312018172,9048.90999449952
